"from","to","weight"
"HS3ST1","HSPG2",640
"SEMA3F","TNC",468
"CFTR","KCNJ11",553
"CFTR","SERPINA1",590
"CFTR","FLNC",520
"CFTR","VIM",432
"HSPB6","FLNC",417
"USH1C","KCNJ11",408
"USH1C","ABCC8",748
"RALA","FLNC",789
"BAIAP2L1","ACTN1",418
"BAIAP2L1","STEAP3",413
"CACNG3","GRIA4",869
"CACNG3","GRIN1",830
"CACNG3","GRIK2",628
"CACNG3","CACNA1A",815
"CACNG3","GRIA2",923
"CACNG3","GABRD",466
"DVL2","WNT7B",678
"SKAP2","ITGA5",900
"HOXA11","COL3A1",594
"HOXA11","HOXD10",432
"CX3CL1","TIMP1",450
"CX3CL1","MMP9",694
"CX3CL1","ICAM1",725
"CX3CL1","CCL2",831
"CX3CL1","PLAT",519
"CX3CL1","FN1",562
"PGLYRP1","MMP9",622
"CD74","ICAM1",488
"CD74","CD44",999
"CD74","FCGR2A",408
"CD74","CCL2",497
"CD74","FCGR2B",483
"CPA1","CCK",438
"SYPL1","SNAP25",459
"CD4","FCGR2B",842
"CD4","MMP9",701
"CD4","TIMP1",463
"CD4","SERPINA1",460
"CD4","SERPINE1",415
"CD4","CCK",488
"CD4","MSR1",468
"CD4","C1R",418
"CD4","HMOX1",519
"CD4","CD44",950
"CD4","THBS1",817
"CD4","VIM",404
"CD4","ICAM1",969
"CD4","CCL2",839
"CD4","PLAT",942
"CD4","SOCS3",712
"CD4","FN1",916
"CD4","FCGR2A",837
"CD4","F3",540
"CD4","SPP1",507
"XYLT2","HSPG2",550
"XYLT2","BGN",530
"SNAI2","FN1",800
"SNAI2","BGN",510
"SNAI2","COL1A2",410
"SNAI2","COL3A1",438
"SNAI2","ITGA5",438
"SNAI2","CD44",689
"SNAI2","VIM",885
"SNAI2","COL1A1",661
"SNAI2","COL5A2",606
"SNAI2","CCK",542
"SNAI2","COL6A3",477
"SNAI2","SERPINE1",523
"SNAI2","IGFBP3",574
"SNAI2","MMP9",725
"SNAI2","PLAU",450
"SNAI2","LUM",417
"SNAI2","ACTA2",413
"SLC7A9","SLC1A6",409
"AKAP11","MSN",409
"CDH17","CD44",531
"CDH17","MSN",448
"CDH17","ICAM1",600
"CDH17","FN1",804
"CDH17","MMP9",735
"CDH17","GRIA2",738
"CDH17","LAMC1",476
"B4GALT7","COL3A1",557
"B4GALT7","COL1A1",547
"B4GALT7","HSPG2",545
"B4GALT7","BGN",644
"B4GALT7","COL1A2",576
"B4GALT7","COL5A2",569
"B4GALT7","COL5A1",444
"CHPF2","BGN",495
"GABARAPL2","GABRA3",741
"GABARAPL2","GABRB3",674
"GABARAPL2","GRIA2",439
"GABARAPL2","GABRD",650
"MYOC","COL1A2",410
"MYOC","PLAT",542
"MYOC","FN1",777
"RTN4R","FN1",583
"LCP2","ICAM1",499
"LCP2","CD44",415
"LCP2","FCGR2A",514
"LCP2","PLAT",654
"DCN","COL5A1",573
"DCN","COL5A2",630
"DCN","COL6A3",657
"DCN","COL4A1",503
"DCN","SERPINE1",612
"DCN","C1R",584
"DCN","IGFBP3",402
"DCN","MMP9",713
"DCN","TIMP1",586
"DCN","IBSP",722
"DCN","COL6A2",628
"DCN","LUM",978
"DCN","ACTA2",537
"DCN","FN1",996
"DCN","PLAT",513
"DCN","CCL2",407
"DCN","BGN",989
"DCN","COL4A2",457
"DCN","SPP1",768
"DCN","COL1A2",930
"DCN","COL3A1",935
"DCN","CD44",523
"DCN","THBS1",854
"DCN","COL8A1",430
"DCN","COL1A1",923
"DCN","HSPG2",986
"TNFRSF17","FCGR2B",571
"TNFRSF17","FCGR2A",414
"GRN","HSPG2",907
"GRN","SERPINA1",460
"GRN","MMP9",585
"VAMP3","ACTN1",410
"VAMP3","SNAP25",999
"VAMP3","STEAP3",493
"VAMP3","CPLX2",801
"VAMP3","CPLX1",981
"UTS2","CCK",488
"RCN1","COL1A1",403
"TLL1","COL5A2",518
"TLL1","COL5A1",455
"TLL1","C1R",470
"TLL1","COL3A1",469
"TLL1","COL1A1",564
"TLL1","HSPG2",506
"TLL1","COL1A2",599
"CLDN11","MMP9",496
"PKP2","FLNC",509
"PKP2","VIM",558
"SLC2A3","SERPINE1",423
"SLC2A3","HK3",426
"HDAC7","TIMP1",492
"ISOC2","MYL9",419
"CD22","FCGR2B",511
"CD22","ICAM1",419
"CD22","CD44",578
"CD22","FCGR2A",607
"KCNQ1","NPPA",588
"KCNQ1","ABCC8",560
"KCNQ1","KCNJ11",749
"TRIB2","CD44",440
"GPKOW","PLAUR",507
"DERL2","SERPINA1",743
"NOX3","ACTA2",407
"ICAM3","ITGA5",514
"ICAM3","CD44",590
"ICAM3","ICAM1",964
"ICAM3","MSN",829
"ICAM3","CCL2",440
"ICAM3","FCGR2A",437
"ICAM3","FCGR2B",418
"CEACAM1","ITGA5",468
"CEACAM1","ICAM1",529
"CEACAM1","FN1",698
"TNFRSF1A","CCL2",768
"TNFRSF1A","SOCS3",417
"TNFRSF1A","SPP1",548
"TNFRSF1A","FCGR2A",675
"TNFRSF1A","COL3A1",509
"TNFRSF1A","CD44",443
"TNFRSF1A","MSN",537
"TNFRSF1A","ICAM1",742
"TNFRSF1A","COL1A1",481
"TNFRSF1A","COL5A1",436
"TNFRSF1A","SERPINE1",464
"TNFRSF1A","HMOX1",435
"TNFRSF1A","FCGR2B",490
"TNFRSF1A","HRH3",442
"TNFRSF1A","MMP9",554
"TNFRSF1A","PLAUR",570
"TNFRSF1A","TIMP1",873
"PYGM","HK3",419
"PYGM","SERPING1",500
"PYGM","ALDOC",498
"BCL3","SOCS3",666
"BCL3","COL3A1",427
"BCL3","ICAM1",666
"PRLH","CCK",418
"PRLH","GRIA2",435
"VASH1","TUBA1C",447
"KRT14","ACTA2",444
"KRT14","COL1A2",565
"KRT14","FN1",477
"KRT14","CCL2",532
"KRT14","VIM",476
"KRT14","COL1A1",404
"KRT14","CD44",580
"KRT20","CD44",492
"KRT20","VIM",672
"SPP2","SERPING1",430
"SPP2","SERPINA1",429
"FGF4","THBS1",480
"FGF4","CD44",923
"FGF4","HSPG2",953
"FGF4","ICAM1",476
"FGF4","BGN",606
"FGF4","CCL2",603
"FGF4","PLAT",496
"FGF4","FN1",799
"FGF4","SPP1",564
"FGF4","PLAU",402
"FGF4","TIMP1",522
"FGF4","MMP9",599
"FGF4","SERPINE1",440
"TNS1","FN1",756
"NGFR","FN1",431
"NGFR","GRIA4",412
"NGFR","PDLIM1",433
"NGFR","SOCS3",410
"NGFR","COL1A1",482
"NGFR","CD44",604
"NTN1","FN1",562
"ADAM7","FN1",559
"DRD4","GRIN1",483
"DRD4","GABRB3",417
"DRD4","SNAP25",658
"SCT","CCK",876
"STK10","MSN",559
"TBX21","FCGR2B",536
"TBX21","ICAM1",447
"TBX21","CD44",689
"TBX21","FCGR2A",475
"TBX21","SOCS3",456
"TBX21","CCL2",488
"CA12","SERPINE1",406
"TIGAR","HK3",760
"FGF20","MMP9",600
"FGF20","TIMP1",496
"FGF20","SERPINE1",472
"FGF20","ICAM1",476
"FGF20","HSPG2",949
"FGF20","CD44",887
"FGF20","THBS1",477
"FGF20","SPP1",518
"FGF20","FN1",797
"FGF20","PLAT",495
"FGF20","BGN",607
"FGF20","CCL2",620
"CPB2","SERPING1",461
"CPB2","PLAT",920
"CPB2","F3",719
"CPB2","CFI",526
"CPB2","SERPINE1",774
"CPB2","C1R",411
"CPB2","PLAU",735
"CPB2","MMP9",418
"CPB2","SERPINA1",434
"ERLEC1","SERPINA1",854
"CLIC5","MSN",841
"FAP","PLAU",601
"FAP","PLAUR",463
"FAP","LUM",505
"FAP","COL5A2",606
"FAP","COL3A1",452
"FAP","CACNA1A",422
"FAP","COL1A1",573
"FAP","FN1",705
"FAP","COL1A2",446
"FAP","SPP1",534
"PLOD1","COL1A2",777
"PLOD1","COL4A2",787
"PLOD1","BGN",402
"PLOD1","COL8A1",616
"PLOD1","COL1A1",818
"PLOD1","COL3A1",781
"PLOD1","COL20A1",544
"PLOD1","COL6A3",782
"PLOD1","COL4A1",805
"PLOD1","COL5A2",865
"PLOD1","COL5A1",857
"PLOD1","SERPINE1",438
"PLOD1","COL6A2",726
"PLOD1","MMP9",501
"PILRA","FCGR2A",417
"AQP2","NPPA",623
"NME8","TUBA1C",517
"CEACAM6","FN1",707
"CEACAM6","ITGA5",494
"ITGB4","LAMC1",802
"ITGB4","COL4A1",846
"ITGB4","TNC",684
"ITGB4","COL6A3",754
"ITGB4","COL6A2",766
"ITGB4","IBSP",682
"ITGB4","MMP9",487
"ITGB4","TNR",680
"ITGB4","COL1A2",739
"ITGB4","SPP1",717
"ITGB4","COL4A2",827
"ITGB4","ACTN1",822
"ITGB4","FN1",764
"ITGB4","COL1A1",756
"ITGB4","CD44",489
"ITGB4","THBS1",854
"ITGB4","FLNC",802
"ITGB4","LAMB1",806
"ITGB4","ITGA5",953
"PPP1R15A","GADD45A",743
"TRIP6","PDLIM4",562
"CETP","MSR1",577
"CETP","CFI",459
"TGM6","CACNA1A",429
"LAG3","CD44",589
"LAG3","ICAM1",590
"LAG3","CCL2",492
"LAG3","FCGR2B",422
"CHRD","BGN",762
"EFNB1","MMP9",500
"EFNB1","GRIA2",519
"EFNB1","WNT7B",422
"GLG1","CD44",675
"GLG1","FN1",514
"GLG1","SPP1",436
"DLL3","HES6",557
"DLL3","HES5",723
"DLD","TUBA1C",462
"APOH","F3",720
"APOH","FN1",537
"APOH","PLAT",428
"APOH","CFI",463
"APOH","C1R",408
"APOH","MSR1",598
"APOH","SERPINA1",845
"RGS17","SLC1A6",497
"CCDC80","COL1A1",511
"CCDC80","COL3A1",583
"CCDC80","COL1A2",539
"CCDC80","LUM",443
"CCDC80","COL5A1",417
"CCDC80","COL5A2",494
"CEBPE","SPP1",437
"CBX5","FN1",465
"GSTA3","HMOX1",420
"MAPK13","MMP9",462
"VCL","PDLIM1",706
"VCL","ACTA2",689
"VCL","MMP9",403
"VCL","SPP1",471
"VCL","MYL9",749
"VCL","FN1",992
"VCL","ACTN1",999
"VCL","VIM",597
"VCL","MSN",951
"VCL","ICAM1",418
"VCL","HSPG2",619
"VCL","ITGA5",780
"VCL","ACTG2",666
"VCL","THBS1",435
"VCL","CD44",665
"VCL","FLNC",994
"SIRT1","MMP9",597
"SIRT1","CCK",543
"SIRT1","SERPINE1",457
"SIRT1","HMOX1",733
"SIRT1","GADD45A",575
"SIRT1","ICAM1",494
"SIRT1","VIM",430
"SIRT1","FN1",434
"SIRT1","CCL2",575
"SIRT1","PLAT",527
"TGFBR3","HSPG2",446
"TGFBR3","BGN",434
"STX1B","CPLX1",770
"STX1B","ATP1A3",559
"STX1B","GABRB3",430
"STX1B","CPLX2",766
"STX1B","SNAP25",997
"ATP5F1D","ATP6V1G2",603
"FGF22","SERPINE1",486
"FGF22","TIMP1",520
"FGF22","MMP9",598
"FGF22","SPP1",528
"FGF22","BGN",613
"FGF22","CCL2",627
"FGF22","PLAT",495
"FGF22","FN1",799
"FGF22","HSPG2",949
"FGF22","ICAM1",482
"FGF22","THBS1",506
"FGF22","CD44",875
"SMIM24","EMP1",463
"TECR","HMOX1",401
"CDC34","GABBR1",456
"GADD45B","GADD45G",955
"GADD45B","GADD45A",965
"GADD45B","CCL2",522
"GADD45B","SOCS3",531
"MADCAM1","FN1",663
"MADCAM1","ICAM1",843
"MAPK12","MMP9",428
"SERPIND1","CD44",439
"SERPIND1","CFI",700
"SERPIND1","FN1",556
"SERPIND1","SERPING1",453
"SERPIND1","PLAT",550
"SERPIND1","F3",802
"SERPIND1","SERPINA1",424
"SNAP29","CPLX1",767
"SNAP29","CPLX2",770
"SNAP29","SNAP25",964
"MMP11","TIMP1",625
"MMP11","COL5A2",424
"MMP11","COL5A1",405
"MMP11","COL1A1",692
"MMP11","FN1",590
"MMP11","COL1A2",410
"MIF","CD44",863
"MIF","ICAM1",479
"MIF","CCL2",836
"MIF","FN1",406
"MIF","SPP1",429
"MIF","TIMP1",403
"MIF","MMP9",492
"MIF","SERPINE1",478
"OSM","MMP9",689
"OSM","TIMP1",640
"OSM","ICAM1",401
"OSM","SERPINA1",436
"OSM","GADD45G",433
"OSM","FN1",621
"OSM","SOCS3",656
"OSM","CCL2",533
"SF3A1","FN1",491
"USP18","SOCS3",471
"MAPK1","FCGR2B",407
"MAPK1","MMP9",684
"MAPK1","ATP1A3",922
"MAPK1","GADD45A",407
"MAPK1","FLNC",572
"MAPK1","ICAM1",579
"MAPK1","FN1",716
"LGALS1","LAMC1",631
"LGALS1","LUM",713
"LGALS1","TIMP1",517
"LGALS1","SPP1",544
"LGALS1","FN1",878
"LGALS1","VIM",879
"LGALS1","COL3A1",541
"LGALS1","CD44",491
"XBP1","CCL2",422
"XBP1","HMOX1",447
"XBP1","SERPINA1",535
"HMGXB4","HMOX1",521
"HMOX1","CD68",583
"HMOX1","NGB",416
"HMOX1","CASP3",806
"HMOX1","GAPDH",759
"HMOX1","HMGCR",562
"HMOX1","MAFK",869
"HMOX1","TFE3",481
"HMOX1","ALAS1",482
"HMOX1","CYP1A2",409
"HMOX1","NDUFA4",428
"HMOX1","ACTB",785
"HMOX1","EIF2AK3",578
"HMOX1","MAPK14",453
"HMOX1","BECN1",580
"HMOX1","NFKB1",652
"HMOX1","XDH",618
"HMOX1","AIF1",528
"HMOX1","HSPB3",448
"HMOX1","CUL3",692
"HMOX1","IL18",514
"HMOX1","FTL",777
"HMOX1","SIRT3",511
"HMOX1","CAV2",414
"HMOX1","UBL4A",532
"HMOX1","VAPA",499
"HMOX1","IGF1",482
"HMOX1","IL1A",591
"HMOX1","GSTA1",587
"HMOX1","PARP1",528
"HMOX1","RUNX2",590
"HMOX1","CASP1",598
"HMOX1","GCLC",903
"HMOX1","TXNRD1",756
"HMOX1","IDO1",533
"HMOX1","BACH1",873
"HMOX1","MYC",438
"HMOX1","PAPOLB",434
"HMOX1","AKR1C1",440
"HMOX1","AGT",612
"HMOX1","GPX2",850
"HMOX1","IL13",855
"HMOX1","HEPH",935
"HMOX1","MB",660
"HMOX1","GSTA2",469
"HMOX1","CAV1",678
"HMOX1","SOD1",741
"HMOX1","IL2",461
"HMOX1","TXNIP",859
"HMOX1","NQO1",916
"HMOX1","RBX1",454
"HMOX1","FDX2",406
"HMOX1","ICAM1",675
"HMOX1","GPX6",842
"HMOX1","INS",640
"HMOX1","TH",462
"HMOX1","NEIL1",418
"HMOX1","SLC7A11",610
"HMOX1","BCL2",856
"HMOX1","PECAM1",430
"HMOX1","NOS3",770
"HMOX1","NLRP3",892
"HMOX1","BCL2L1",594
"HMOX1","TOM1",456
"HMOX1","SNCA",482
"HMOX1","PXDN",696
"HMOX1","ALDH3A2",541
"HMOX1","GPX8",842
"HMOX1","CYB5A",628
"HMOX1","UGT1A10",490
"HMOX1","HSPA1B",497
"HMOX1","REN",474
"HMOX1","TNF",792
"HMOX1","IL1B",817
"HMOX1","GPX5",842
"HMOX1","CHUK",405
"HMOX1","BNIP3",401
"HMOX1","GSTP1",530
"HMOX1","MMP1",461
"HMOX1","MAOB",426
"HMOX1","PPARA",576
"HMOX1","PPIG",432
"HMOX1","IKBKB",443
"HMOX1","SLC2A4",405
"HMOX1","NCF2",479
"HMOX1","ALAD",524
"HMOX1","SIRT1",733
"HMOX1","ESR1",409
"HMOX1","SCARB2",461
"HMOX1","GET3",531
"HMOX1","ATG5",475
"HMOX1","CDKN1A",476
"HMOX1","MMP13",402
"HMOX1","GADD45A",574
"HMOX1","CD4",519
"HMOX1","STAT1",537
"HMOX1","UGT1A4",488
"HMOX1","CYP1A1",545
"HMOX1","JAK2",430
"HMOX1","STAP2",458
"HMOX1","SRXN1",650
"HMOX1","TRAF6",599
"HMOX1","ARG1",476
"HMOX1","ADIPOQ",527
"HMOX1","SELP",425
"HMOX1","PRDX3",472
"HMOX1","IL6",810
"HMOX1","PAPOLA",608
"HMOX1","CYP1B1",431
"HMOX1","DDIT3",545
"HMOX1","IL4",878
"HMOX1","MT1X",425
"HMOX1","KEAP1",934
"HMOX1","PXDNL",696
"HMOX1","PRDX2",411
"HMOX1","SQSTM1",684
"HMOX1","ATF3",465
"HMOX1","NGF",441
"HMOX1","ATG7",465
"HMOX1","HPGDS",600
"HMOX1","PSEN1",434
"HMOX1","SLCO6A1",544
"HMOX1","H3C12",481
"HMOX1","TP53",630
"HMOX1","BDNF",627
"HMOX1","HSP90AB1",462
"HMOX1","IL17A",478
"HMOX1","KDR",405
"HMOX1","CXCL10",429
"HMOX1","ACSL4",418
"HMOX1","JUN",798
"HMOX1","ACHE",465
"HMOX1","SLC40A1",586
"HMOX1","MT1E",568
"HMOX1","CYCS",827
"HMOX1","GCLM",910
"HMOX1","NFE2L2",989
"HMOX1","SPP1",411
"HMOX1","APOE",572
"HMOX1","STAT3",849
"HMOX1","NFE2",679
"HMOX1","TXNRD2",404
"HMOX1","GET1",499
"HMOX1","ERN1",433
"HMOX1","OCLN",478
"HMOX1","CTH",485
"HMOX1","HSPA4",778
"HMOX1","GSK3B",618
"HMOX1","PAPOLG",461
"HMOX1","TXN2",610
"HMOX1","H3C13",483
"HMOX1","EDN1",735
"HMOX1","PPOX",499
"HMOX1","SRC",456
"HMOX1","LCN2",512
"HMOX1","SMAD2",401
"HMOX1","TXN",774
"HMOX1","PRDX6",423
"HMOX1","PPP1R3A",418
"HMOX1","DNAJB7",445
"HMOX1","STX1A",738
"HMOX1","UGT1A7",490
"HMOX1","MPO",640
"HMOX1","HIF1A",701
"HMOX1","TFEB",525
"HMOX1","TUT1",700
"HMOX1","H3-7",483
"HMOX1","SAT1",514
"HMOX1","UGT1A6",494
"HMOX1","GET4",500
"HMOX1","ITGAM",468
"HMOX1","CEBPB",432
"HMOX1","CCL3",407
"HMOX1","TLR2",496
"HMOX1","CCL2",697
"HMOX1","FOXP3",636
"HMOX1","FDX1",613
"HMOX1","HM13",791
"HMOX1","IREB2",501
"HMOX1","CASP8",665
"HMOX1","SMAD3",430
"HMOX1","FOXO1",465
"HMOX1","SLC48A1",445
"HMOX1","GPX4",716
"HMOX1","STEAP3",519
"HMOX1","ATP5F1C",433
"HMOX1","TGFB1",646
"HMOX1","CREB1",557
"HMOX1","SIRT6",406
"HMOX1","HMGXB4",521
"HMOX1","G6PD",527
"HMOX1","FN1",479
"HMOX1","H3-4",483
"HMOX1","KCNMA1",444
"HMOX1","HSP90AA1",462
"HMOX1","H3-3B",474
"HMOX1","HCCS",906
"HMOX1","SREBF1",445
"HMOX1","SOD3",550
"HMOX1","NOS2",716
"HMOX1","CCN2",431
"HMOX1","MAP1LC3B",512
"HMOX1","GLRX",641
"HMOX1","DNTT",509
"HMOX1","NOX1",626
"HMOX1","PTEN",450
"HMOX1","MEFV",424
"HMOX1","CPOX",492
"HMOX1","FOS",531
"HMOX1","SOX2",434
"HMOX1","CD80",581
"HMOX1","MAPK3",629
"HMOX1","NRF1",434
"HMOX1","CD163",631
"HMOX1","CXCL1",407
"HMOX1","DUOX1",561
"HMOX1","MT1F",470
"HMOX1","HSPB2",447
"HMOX1","IFNG",633
"HMOX1","UGT1A8",492
"HMOX1","NKRF",601
"HMOX1","GPT2",482
"HMOX1","VCAM1",620
"HMOX1","SCARB1",489
"HMOX1","PIP4K2A",540
"HMOX1","VWF",413
"HMOX1","APP",512
"HMOX1","SOD2",743
"HMOX1","FOXO3",504
"HMOX1","ALB",683
"HMOX1","MMP3",447
"HMOX1","GSR",761
"HMOX1","BAG6",503
"HMOX1","CD8A",658
"HMOX1","PTK6",402
"HMOX1","CAMLG",499
"HMOX1","EGR1",425
"HMOX1","CCND1",464
"HMOX1","EPAS1",616
"HMOX1","PON1",534
"HMOX1","LMNB1",654
"HMOX1","TFEC",545
"HMOX1","IRS1",446
"HMOX1","FXN",939
"HMOX1","IDO2",476
"HMOX1","NOX4",699
"HMOX1","HGF",442
"HMOX1","SELE",518
"HMOX1","OTOF",500
"HMOX1","POR",965
"HMOX1","SLC46A1",793
"HMOX1","EPO",597
"HMOX1","FECH",963
"HMOX1","SLC11A1",448
"HMOX1","COX4I1",593
"HMOX1","TFAM",510
"HMOX1","HAMP",583
"HMOX1","SEC61G",500
"HMOX1","CYP2E1",599
"HMOX1","CP",942
"HMOX1","GPX7",841
"HMOX1","CXCL8",622
"HMOX1","MTOR",527
"HMOX1","SGTA",522
"HMOX1","GPX3",844
"HMOX1","IL10",726
"HMOX1","H6PD",506
"HMOX1","UCP2",465
"HMOX1","CBS",648
"HMOX1","RPS3A",423
"HMOX1","EGFR",419
"HMOX1","APLP1",424
"HMOX1","TFRC",598
"HMOX1","AKT1",796
"HMOX1","GFAP",451
"HMOX1","MCM5",415
"HMOX1","CXCL12",435
"HMOX1","TIMP1",454
"HMOX1","XBP1",447
"HMOX1","MMP9",656
"HMOX1","ATP5PD",404
"HMOX1","TNFRSF1A",435
"HMOX1","FLVCR1",456
"HMOX1","KIT",515
"HMOX1","MAF",678
"HMOX1","COX10",911
"HMOX1","ATF6",449
"HMOX1","SOD2",738
"HMOX1","CYBB",712
"HMOX1","MOXD1",432
"HMOX1","MRC1",453
"HMOX1","CCNG1",445
"HMOX1","HSPB1",518
"HMOX1","GSTM1",502
"HMOX1","NCOA4",401
"HMOX1","IRF3",455
"HMOX1","VAMP2",499
"HMOX1","UROD",475
"HMOX1","ATF4",760
"HMOX1","MAP3K5",420
"HMOX1","SEC61B",500
"HMOX1","NFKBIA",675
"HMOX1","SERP1",531
"HMOX1","STX5",500
"HMOX1","EMD",506
"HMOX1","HSP90B1",542
"HMOX1","ACE",447
"HMOX1","TJP1",482
"HMOX1","TECR",401
"HMOX1","SLC11A2",617
"HMOX1","HPX",753
"HMOX1","BLVRA",995
"HMOX1","PTGS2",789
"HMOX1","NEIL2",506
"HMOX1","FLVCR2",593
"HMOX1","HP",610
"HMOX1","BAX",729
"HMOX1","NCF1",532
"HMOX1","MMP2",506
"HMOX1","MAFG",511
"HMOX1","MT2A",432
"HMOX1","PTPRC",410
"HMOX1","TLR4",719
"HMOX1","ACO1",461
"HMOX1","MAPK8",506
"HMOX1","ARNT",410
"HMOX1","CD36",472
"HMOX1","DUOX2",512
"HMOX1","CTNNB1",489
"HMOX1","FGF2",464
"HMOX1","THBD",446
"HMOX1","PPARGC1A",654
"HMOX1","HARS2",697
"HMOX1","CASP9",612
"HMOX1","HSPA5",564
"HMOX1","UBE2J2",499
"HMOX1","SERPINE1",638
"HMOX1","CRYZ",882
"HMOX1","BLVRB",952
"HMOX1","PPARG",784
"HMOX1","LOX",402
"HMOX1","LRP1",411
"HMOX1","LMNB2",619
"HMOX1","GSTA3",420
"HMOX1","NOS1",632
"HMOX1","CYBA",482
"HMOX1","LEP",424
"HMOX1","KPNA2",419
"HMOX1","STC2",467
"HMOX1","PRKG1",533
"HMOX1","UROS",405
"HMOX1","FTH1",697
"HMOX1","APAF1",608
"HMOX1","GPT",674
"HMOX1","HMOX2",911
"HMOX1","PRDX1",656
"HMOX1","ANXA5",627
"HMOX1","ASNS",480
"HMOX1","PCBP2",494
"HMOX1","CRP",474
"HMOX1","FASLG",616
"HMOX1","MAFF",412
"HMOX1","CYBRD1",530
"HMOX1","CCK",556
"HMOX1","PINK1",459
"HMOX1","HMBS",497
"HMOX1","H3-5",483
"HMOX1","EPHX1",402
"HMOX1","IL1RN",493
"HMOX1","PARK7",471
"HMOX1","UGT1A1",521
"HMOX1","HMGB1",570
"NIPSNAP1","SNAP25",732
"MCM5","HMOX1",415
"ARSA","SERPINA1",401
"MYH9","ACTA2",953
"MYH9","MYL9",990
"MYH9","FCGR2A",420
"MYH9","FN1",558
"MYH9","ACTN1",844
"MYH9","VIM",441
"MYH9","MSN",941
"MYH9","ACTG2",944
"MYH9","CD44",419
"TXN2","HMOX1",610
"PVALB","GABBR1",528
"PVALB","GRIN1",598
"PVALB","CCK",819
"PVALB","GRIA4",573
"PVALB","GABRD",446
"PVALB","GRIA2",559
"PVALB","GABRB3",528
"PVALB","SNAP25",503
"PVALB","CACNA1A",509
"IL2RB","CD44",827
"IL2RB","FCGR2B",424
"IL2RB","FCGR2A",409
"IL2RB","SOCS3",473
"IL2RB","CCL2",600
"RBX1","HMOX1",454
"RBX1","SOCS3",540
"ACO2","ALDOC",576
"PMM1","HK3",928
"CERK","FCGR2A",447
"RIPK3","CCL2",422
"PAPOLA","HMOX1",608
"NID2","COL8A1",402
"NID2","COL1A1",643
"NID2","HSPG2",999
"NID2","COL3A1",562
"NID2","LAMB1",928
"NID2","CD44",480
"NID2","COL1A2",536
"NID2","FN1",715
"NID2","COL4A2",734
"NID2","BGN",490
"NID2","COL6A2",503
"NID2","LUM",518
"NID2","TIMP1",458
"NID2","LAMC1",984
"NID2","COL5A2",557
"NID2","COL5A1",582
"NID2","TNC",416
"NID2","COL6A3",680
"NID2","COL4A1",740
"CTSG","F3",521
"CTSG","CCL2",435
"CTSG","FN1",458
"CTSG","SERPING1",551
"CTSG","COL1A1",404
"CTSG","ICAM1",426
"CTSG","IGFBP3",457
"CTSG","SERPINE1",574
"CTSG","SERPINA1",805
"CTSG","PLAU",528
"CTSG","MMP9",992
"GZMH","IGFBP3",421
"GZMB","CCL2",599
"GZMB","FN1",656
"GZMB","FCGR2A",517
"GZMB","THBS1",537
"GZMB","CD44",672
"GZMB","ICAM1",536
"GZMB","TUBA1C",907
"GZMB","FCGR2B",538
"GZMB","MMP9",464
"GZMB","TIMP1",467
"COCH","COL4A1",438
"COCH","FN1",451
"COCH","COL1A1",444
"SOS2","LAMB1",549
"SOS2","PLAT",421
"PYGL","SERPING1",471
"PYGL","HK3",466
"PYGL","ALDOC",494
"PYGL","LUM",430
"GNPNAT1","HK3",932
"CNIH1","COL8A1",420
"CNIH1","COL20A1",502
"CNIH1","GRIA4",813
"CNIH1","COL5A2",470
"CNIH1","SERPINA1",500
"CNIH1","GRIA2",798
"ATP6V1D","ATP6V1G2",997
"PLEK2","MSN",651
"CHGA","KCNJ11",411
"CHGA","ABCC8",483
"CHGA","SNAP25",493
"CHGA","CCK",532
"SLC10A1","SERPINA1",532
"ZFYVE21","COL1A1",435
"BDKRB1","CCK",524
"BDKRB1","SERPING1",480
"APEX1","GADD45A",935
"APEX1","FCGR2A",710
"PCK2","ALDOC",433
"NFKBIA","TIMP1",431
"NFKBIA","PLAUR",522
"NFKBIA","MMP9",704
"NFKBIA","PLAU",419
"NFKBIA","SERPINA1",495
"NFKBIA","CCK",567
"NFKBIA","HMOX1",675
"NFKBIA","CD44",453
"NFKBIA","THBS1",430
"NFKBIA","VIM",456
"NFKBIA","ICAM1",797
"NFKBIA","CCL2",754
"NFKBIA","SOCS3",726
"NFKBIA","FN1",474
"AURKA","GADD45A",961
"AURKA","FN1",945
"AURKA","SOCS3",403
"PYGB","ALDOC",446
"PYGB","ACTN1",662
"PYGB","SERPING1",436
"PROCR","ICAM1",721
"PROCR","CCL2",687
"PROCR","PLAT",578
"PROCR","SERPINE1",592
"PROCR","F3",704
"MYBL2","COL1A1",456
"CTSZ","SERPINA1",538
"TUBB1","TUBA1C",963
"TUBB1","ACTN1",436
"BIRC7","KCNJ11",724
"EEF1A2","ICAM1",443
"EEF1A2","TUBA1C",456
"CSNK2A1","HES6",663
"RSPO4","THBS1",528
"PROKR2","CCK",550
"FERMT1","FLNC",421
"FERMT1","MSN",500
"OXT","FN1",480
"OXT","CCK",837
"OXT","GABBR1",743
"OXT","NPPA",600
"CHMP4B","TUBA1C",529
"LBP","CCL2",403
"LBP","MMP9",498
"LBP","TIMP1",484
"SLC32A1","CCK",528
"SLC32A1","SLC1A6",417
"SLC32A1","GRIN1",745
"SLC32A1","GRIA4",429
"SLC32A1","GABBR1",598
"SLC32A1","GABRB3",512
"SLC32A1","HRH3",424
"SLC32A1","GABRA3",610
